id;name;description;type;category;active
1;best-of-breed disintermediate;methodologies Chips Cotton;GESTION;GESTION;false
2;non-volatile Managed Market;maximized auxiliary;CLIENTELE;TRANSACTIONS;true
3;Tuvalu;Towels logistical leading-edge;CLIENTELE;GESTION;false
4;installation sexy;Pastourelle a Movies;GESTION;CLIENTELE;false
5;Soft convergence;Midi-Pyrénées tan;CLIENTELE;TRANSACTIONS;false
6;Licensed;a Granite;CLIENTELE;CLIENTELE;false
7;discrete matrix policy;Jewelery IB;TRANSACTIONS;TRANSACTIONS;true
8;Ergonomic Gorgeous;relationships payment;TRANSACTIONS;GESTION;true
9;aggregate online;infomediaries;GESTION;CLIENTELE;false
10;Buckinghamshire;world-class Concrete Licensed;TRANSACTIONS;GESTION;false
